altmodisch,Old-fashioned,"Dieses Kleid sieht ein bisschen altmodisch aus.","This dress looks a bit old-fashioned."
beschuldigen,To accuse,"Man kann ihn nicht ohne Beweise beschuldigen.","One cannot accuse him without evidence."
die Oberfläche,Surface,"Die Oberfläche des Tisches ist sehr glatt.","The surface of the table is very smooth."
verfolgen,To follow / To pursue,"Die Polizei verfolgte den Dieb durch die Stadt.","The police pursued the thief through the city."
trivial,Trivial / Simple,"Das Problem scheint auf den ersten Blick trivial zu sein.","The problem seems to be trivial at first glance."
die Spitze,Top / Peak / Lace,"Wir haben endlich die Spitze des Berges erreicht.","We finally reached the peak of the mountain."
lebhaft,Lively / Vivid,"In der Innenstadt herrscht ein lebhaftes Treiben.","There is lively hustle and bustle in the city center."
bescheiden,Modest / Humble,"Trotz seines Erfolges ist er sehr bescheiden geblieben.","Despite his success, he remained very modest."
die Fähigkeit,Ability / Skill,"Sie besitzt die Fähigkeit, komplexe Dinge einfach zu erklären.","She possesses the ability to explain complex things simply."
das Selbstvertrauen,Self-confidence,"Sport kann dabei helfen, das Selbstvertrauen zu stärken.","Sport can help to strengthen self-confidence."
der Wahnsinn,Madness / Insanity,"Es ist der reinste Wahnsinn, bei diesem Wetter ohne Jacke rauszugehen!","It is pure madness to go out without a jacket in this weather!"
erwerben,To acquire / To purchase,"Er hat im Laufe der Jahre viele Fachkenntnisse erworben.","He has acquired much expertise over the years."
das Vermögen,Fortune / Assets,"Nach dem Tod des Vaters erbte sie ein großes Vermögen.","After the death of her father, she inherited a large fortune."
hervorragend,Excellent / Outstanding,"Das Essen in diesem Restaurant schmeckt hervorragend.","The food in this restaurant tastes excellent."
die Pfote,Paw,"Der Hund hat sich an der Pfote verletzt.","The dog hurt its paw."
sensationell,Sensational,"Die Entdeckung war eine sensationelle Neuigkeit.","The discovery was sensational news."
die Leistung,Achievement / Performance,"Die sportliche Leistung der Mannschaft war beeindruckend.","The team's athletic performance was impressive."
konventionell,Conventional,"Er bevorzugt konventionelle Methoden gegenüber neuen Experimenten.","He prefers conventional methods over new experiments."
nachlassen,To diminish / To fade,"Der Regen hat am Nachmittag endlich nachgelassen.","The rain finally subsided in the afternoon."
der Wandel,Change / Transformation,"Wir befinden uns in einem stetigen digitalen Wandel.","We are in a constant digital transformation."
streiten,To argue / To fight,"Die Geschwister streiten sich oft um das Spielzeug.","The siblings often fight over the toy."
die Zweigstelle,Branch (office),"Die Bank hat eine neue Zweigstelle in unserem Viertel eröffnet.","The bank has opened a new branch in our neighborhood."
der Rand,Edge / Margin,"Bitte schreiben Sie nicht über den Rand des Papiers.","Please do not write over the margin of the paper."
überfliegen,To skim (read) / To fly over,"Ich habe den Artikel nur kurz überflogen.","I only briefly skimmed the article."
wohingegen,Whereas / While,"Er liebt Kaffee, wohingegen sie lieber Tee trinkt.","He loves coffee, whereas she prefers drinking tea."
schlucken,To swallow,"Die Tablette ist so groß, dass ich sie kaum schlucken kann.","The tablet is so large that I can hardly swallow it."
die Mehrheit,Majority,"Die Mehrheit der Bürger stimmte für das neue Gesetz.","The majority of citizens voted for the new law."
täuschen,To deceive / To trick,"Man sollte sich nicht von seinem Lächeln täuschen lassen.","One should not let oneself be deceived by his smile."
übrigens,By the way / Incidentally,"Ich habe übrigens gestern deinen Bruder getroffen.","By the way, I met your brother yesterday."
erscheinen,To appear / To seem,"Das neue Buch wird nächsten Monat erscheinen.","The new book will appear next month."
fördern,To promote / To support,"Die Regierung will junge Talente stärker fördern.","The government wants to promote young talents more strongly."
das Ausrufezeichen,Exclamation mark,"Vergiss nicht das Ausrufezeichen am Ende des Satzes!","Don't forget the exclamation mark at the end of the sentence!"
entdecken,To discover,"Wissenschaftler haben einen neuen Planeten entdeckt.","Scientists have discovered a new planet."
vernünftig,Reasonable / Sensible,"Das ist eine sehr vernünftige Entscheidung.","That is a very sensible decision."
Arbeitsbedingungen,Working conditions,"Die Gewerkschaft fordert bessere Arbeitsbedingungen.","The labor union demands better working conditions."
im Freien,Outdoors / In the open air,"Wir verbringen den ganzen Tag im Freien.","We are spending the whole day outdoors."
sich leisten,To afford,"Ich kann mir diesen Luxus leider nicht leisten.","Unfortunately, I cannot afford this luxury."
die Ablenkung,Distraction,"Beim Lernen brauche ich absolute Ruhe, keine Ablenkung.","When studying I need absolute quiet, no distraction."
vorankommen,To make progress,"Wir kommen mit dem Projekt gut voran.","We are making good progress with the project."
dennoch,Nevertheless / Yet,"Es regnete stark, dennoch gingen wir spazieren.","It rained heavily, nevertheless we went for a walk."
aufgrund (+ Genitiv),Due to / On the basis of,"Aufgrund des Wetters wurde das Spiel abgesagt.","Due to the weather, the game was cancelled."
allmählich,Gradually / Bit by bit,"Die Situation verbessert sich allmählich.","The situation is improving gradually."
verschwinden,To disappear,"Der Zauberer ließ das Kaninchen verschwinden.","The magician made the rabbit disappear."
Verabredung / Abkommen,Appointment / Agreement,"Ich habe heute Abend eine Verabredung mit Freunden.","I have a date/appointment with friends tonight."
zusammenstoßen,To collide / To clash,"Zwei Autos sind an der Kreuzung zusammengestoßen.","Two cars collided at the intersection."
begegnen,To encounter / To meet,"Ich bin ihm zufällig im Supermarkt begegnet.","I bumped into him by chance at the supermarket."
vernichten,To destroy / To annihilate,"Das Feuer hat die gesamte Ernte vernichtet.","The fire destroyed the entire harvest."
zerstören,To destroy / To ruin,"Der Sturm hat viele Häuser zerstört.","The storm destroyed many houses."
das Bruchstück,Fragment / Scrap,"Archäologen fanden Bruchstücke alter Vasen.","Archaeologists found fragments of old vases."
unvermeidlich,Inevitable,"Einige Fehler sind am Anfang unvermeidlich.","Some mistakes are inevitable in the beginning."
der Zweck,Purpose / Aim,"Was ist der Zweck dieser Übung?","What is the purpose of this exercise?"
das Spülbecken,Kitchen sink,"Das Geschirr steht noch im Spülbecken.","The dishes are still in the kitchen sink."
der Neffe / die Nichte,Nephew / Niece,"Mein Neffe und meine Nichte kommen uns am Wochenende besuchen.","My nephew and my niece are coming to visit us this weekend."
die Zwillinge,Twins,"Die beiden Mädchen sind Zwillinge und sehen sich sehr ähnlich.","The two girls are twins and look very similar."
fressen,To eat (animals),"Der Hund frisst sein Futter sehr schnell.","The dog eats its food very quickly."
füttern,To feed (animals),"Hast du die Katze heute schon gefüttert?","Have you already fed the cat today?"
das Kaninchen,Rabbit,"Das Kaninchen hoppelt durch den Garten.","The rabbit hops through the garden."
die Kuh,Cow,"Auf der Wiese steht eine braune Kuh.","A brown cow is standing in the meadow."
das Schaf,Sheep,"Die Wolle vom Schaf ist sehr weich.","The wool from the sheep is very soft."
die Schildkröte,Tortoise / Turtle,"Schildkröten können sehr alt werden.","Tortoises can get very old."
die Schlange,Snake / Queue,"Dort vorne ist eine lange Schlange an der Kasse.","There is a long line at the checkout over there."
der Backstein,Brick,"Das Haus wurde aus roten Backsteinen gebaut.","The house was built from red bricks."
der Alptraum,Nightmare,"Ich hatte gestern Nacht einen schrecklichen Alptraum.","I had a terrible nightmare last night."
artig,Well-behaved,"Sei bitte artig, wenn wir bei Oma sind.","Please be well-behaved when we are at Grandma's."
begießen,To water (plants),"Vergiss nicht, die Blumen auf dem Balkon zu begießen.","Don't forget to water the flowers on the balcony."
beißen,To bite,"Keine Sorge, der Hund beißt nicht.","Don't worry, the dog doesn't bite."
bewundern,To admire,"Ich bewundere deinen Mut.","I admire your courage."
die Braut,Bride,"Die Braut trug ein wunderschönes weißes Kleid.","The bride wore a beautiful white dress."
der Fensterladen,Shutter,"Nachts schließen wir immer die Fensterläden.","At night we always close the shutters."
die Gebrauchsanweisung,Instruction manual,"Ich muss erst die Gebrauchsanweisung für die Waschmaschine lesen.","I first have to read the instruction manual for the washing machine."
das Gedächtnis,Memory,"Er hat ein hervorragendes Gedächtnis für Namen.","He has an excellent memory for names."
angeln,To fish,"Mein Vater geht am Wochenende oft am See angeln.","My father often goes fishing at the lake on weekends."
segeln,To sail,"Im Sommer wollen wir auf der Ostsee segeln.","In summer we want to sail on the Baltic Sea."
das Schließfach,Locker / Safe deposit box,"Du kannst deine Tasche im Schließfach am Bahnhof lassen.","You can leave your bag in the locker at the train station."
steigen,To climb / To rise,"Die Preise für Benzin steigen momentan wieder.","Prices for gasoline are currently rising again."
begleiten,To accompany,"Darf ich dich nach Hause begleiten?","May I walk/accompany you home?"
empfehlen,To recommend,"Können Sie mir ein gutes Restaurant in der Nähe empfehlen?","Can you recommend a good restaurant nearby?"
die Ermäßigung,Discount / Reduction,"Studenten bekommen eine Ermäßigung auf den Eintrittspreis.","Students receive a discount on the entrance fee."
einrichten,To furnish / To set up,"Wir müssen unsere neue Wohnung noch fertig einrichten.","We still have to finish furnishing our new apartment."
kleben,To stick / To glue,"Das Plakat klebt an der Wand.","The poster is sticking to the wall."
lohnen (sich),To be worth it,"Die Mühe hat sich gelohnt, das Ergebnis ist toll.","The effort was worth it, the result is great."
stören,To disturb / To bother,"Entschuldigung, störe ich gerade?","Excuse me, am I disturbing you right now?"
gelingen,To succeed / To work out,"Der Kuchen ist mir heute besonders gut gelungen.","The cake turned out particularly well for me today."
das Vorhaben,Plan / Intent,"Was ist dein nächstes großes Vorhaben?","What is your next big project/plan?"
Quatsch,Nonsense / Rubbish,"Erzähl doch keinen Quatsch!","Don't talk nonsense!"
schreien,To scream / To shout,"Warum schreist du so laut?","Why are you screaming so loud?"
sowohl ... als auch,Both ... and,"Ich spreche sowohl Deutsch als auch Englisch.","I speak both German and English."
Verzeihung,Forgiveness / Excuse me,"Verzeihung, ich habe Sie nicht gesehen.","Excuse me, I didn't see you."
ahnen,To suspect / To have a hunch,"Ich ahne nichts Gutes.","I suspect nothing good."
außer(dem),Except (Besides),"Außerdem müssen wir noch Brot kaufen.","Besides, we still have to buy bread."
enttäuscht,Disappointed,"Er war sehr enttäuscht von dem Ergebnis.","He was very disappointed with the result."
es kommt darauf an,It depends,"Kommst du mit? - Es kommt darauf an, wie spät es ist.","Are you coming? - It depends on what time it is."
irren (sich),To be mistaken,"Ich glaube, Sie irren sich in der Adresse.","I think you are mistaken about the address."
umsonst,Free / In vain,"Der Eintritt ist umsonst.","Admission is free."
vor kurzem,Recently,"Ich habe ihn erst vor kurzem getroffen.","I met him only recently."
wagen,To dare,"Er wagte es nicht, sie anzurufen.","He did not dare to call her."
seitdem,Since then,"Er ist umgezogen und seitdem habe ich ihn nicht gesehen.","He moved and I haven't seen him since then."
derselbe / dieselbe,The very same,"Wir haben denselben Geschmack bei Musik.","We have the same taste in music."
zwar,Admittedly / Indeed,"Das ist zwar teuer, aber die Qualität ist gut.","That is indeed expensive, but the quality is good."
vor allem,Above all / Especially,"Er mag Sport, vor allem Fußball.","He likes sports, especially soccer."
während,While / During,"Während der Arbeit darf ich nicht telefonieren.","I am not allowed to make calls during work."
auskommen mit,To get on with,"Ich komme gut mit meinen Nachbarn aus.","I get along well with my neighbors."
bürsten,To brush,"Du solltest dir die Haare bürsten.","You should brush your hair."
decken,To set (the table) / To cover,"Kannst du bitte den Tisch decken?","Can you please set the table?"
hinlegen (sich),To lie down,"Ich bin müde und möchte mich kurz hinlegen.","I am tired and would like to lie down for a bit."
stecken,To put (inside) / To stick,"Er steckt den Schlüssel in die Tasche.","He puts the key in his pocket."
mähen,To mow,"Er muss heute den Rasen mähen.","He has to mow the lawn today."
hinsetzen (sich),To sit down,"Bitte setzen Sie sich doch hin.","Please, do sit down."
gemütlich,Cozy / Comfortable,"Das Wohnzimmer sieht sehr gemütlich aus.","The living room looks very cozy."
merkwürdig,Strange / Odd,"Das ist eine merkwürdige Geschichte.","That is a strange story."
sanft,Gentle / Soft,"Sie gab ihm einen sanften Kuss auf die Wange.","She gave him a gentle kiss on the cheek."
glatt,Smooth / Slippery,"Vorsicht, die Straße ist heute sehr glatt.","Caution, the road is very slippery today."
Pech,Bad luck,"Das war einfach nur Pech.","That was just bad luck."
Neue Wörter,New words,"Example sentence here","Translation here"
der Chirurg,Surgeon,"Der Chirurg führt heute drei wichtige Operationen durch.","The surgeon is performing three important operations today."
die Vorsorgeuntersuchung,Preventive checkup,"Eine regelmäßige Vorsorgeuntersuchung kann Leben retten.","A regular preventive checkup can save lives."
die Ansteckung,Infection / Contagion,"Wir müssen Maßnahmen ergreifen, um die Ansteckung zu verhindern.","We must take measures to prevent infection."
ansteckend,Contagious / Infectious,"Ist diese Krankheit für andere Menschen ansteckend?","Is this disease contagious to other humans?"
das Gewissen,Conscience,"Er hat ein schlechtes Gewissen, weil er gelogen hat.","He has a guilty conscience because he lied."
die Pflichtverletzung,Breach of duty,"Die Kündigung erfolgte aufgrund einer schweren Pflichtverletzung.","The termination occurred due to a serious breach of duty."
die Solidarität,Solidarity,"In Krisenzeiten ist gesellschaftliche Solidarität besonders wichtig.","Social solidarity is particularly important in times of crisis."
die Zivilcourage,Moral courage,"Es erfordert viel Zivilcourage, in so einer Situation einzugreifen.","It requires a lot of moral courage to intervene in such a situation."
das Engagement,Commitment / Involvement,"Sein soziales Engagement in der Gemeinde ist vorbildlich.","His social commitment in the community is exemplary."
sich engagieren (für),To get involved (for),"Viele junge Leute engagieren sich heute für den Klimaschutz.","Many young people are getting involved in climate protection today."
das Vorurteil,Prejudice / Bias,"Wir müssen versuchen, unsere Vorurteile abzubauen.","We must try to break down our prejudices."
die Obdachlosigkeit,Homelessness,"Die Stadt versucht, die Obdachlosigkeit im Winter zu bekämpfen.","The city is trying to combat homelessness in winter."
der soziale Aufstieg,Social advancement,"Bildung ist oft der Schlüssel für einen sozialen Aufstieg.","Education is often the key to social advancement."
der Reichtum,Wealth / Riches,"Reichtum allein macht nicht unbedingt glücklich.","Wealth alone does not necessarily make one happy."
der Verbraucher / Konsument,Consumer,"Verbraucher achten heute verstärkt auf nachhaltige Produkte.","Consumers are paying more attention to sustainable products today."
der Bedarf / das Bedürfnis,Demand / Need,"Es gibt einen großen Bedarf an bezahlbarem Wohnraum.","There is a great need for affordable housing."
das Konsumverhalten,Consumer behavior,"Das Konsumverhalten hat sich durch das Internet stark verändert.","Consumer behavior has changed significantly due to the internet."
der Werbespot / das Plakat,Commercial / Poster,"Der neue Werbespot im Fernsehen ist sehr lustig gemacht.","The new commercial on TV is made very funnily."
die Markenbindung,Brand loyalty,"Eine hohe Markenbindung ist für Unternehmen sehr wertvoll.","High brand loyalty is very valuable for companies."
das Markenbewusstsein,Brand awareness,"Bei Jugendlichen ist das Markenbewusstsein oft sehr ausgeprägt.","Brand awareness is often very pronounced among young people."
die Preisgestaltung,Pricing / Price structure,"Die Preisgestaltung der neuen Kollektion ist recht exklusiv.","The pricing of the new collection is quite exclusive."
der Preisvergleich,Price comparison,"Ein kurzer Preisvergleich im Internet kann viel Geld sparen.","A short price comparison on the internet can save a lot of money."
reduzieren,To reduce / To cut,"Wir müssen unsere Ausgaben für Luxusgüter reduzieren.","We must reduce our expenses for luxury goods."
das Sonderangebot,Special offer / Sale,"Ich habe diese Schuhe als Sonderangebot gekauft.","I bought these shoes as a special offer."
das Schnäppchen,Bargain,"Auf dem Flohmarkt habe ich ein echtes Schnäppchen gemacht.","I made a real bargain at the flea market."
der Kaufrausch,Shopping spree,"In der Weihnachtszeit verfallen viele Menschen in einen Kaufrausch.","During the Christmas season, many people fall into a shopping frenzy."
die Kaufkraft,Purchasing power,"Durch die Inflation sinkt die Kaufkraft der Bevölkerung.","Due to inflation, the purchasing power of the population is sinking."
das Zahlungsmittel,Means of payment,"Kreditkarten sind ein weltweit akzeptiertes Zahlungsmittel.","Credit cards are a globally accepted means of payment."
die Ratenzahlung,Installment plan,"Kann ich den Fernseher auch per Ratenzahlung kaufen?","Can I also buy the TV via installment plan?"
zunehmen / abnehmen,To increase / To decrease,"Die Zahl der Teilnehmer nimmt stetig zu.","The number of participants is steadily increasing."
anfallen,To arise / To accrue,"Bei der Arbeit fallen viele Überstunden an.","Many overtime hours accrue at work."
ausgehen (von),To assume / To originate,"Ich gehe davon aus, dass wir pünktlich fertig werden.","I assume that we will finish on time."
einsetzen,To use / To deploy,"Wir setzen eine neue Software ein.","We are using new software."
feststellen,To determine / To realize,"Der Arzt konnte keine Krankheit feststellen.","The doctor could not determine any illness."
untergehen,To go down / To set (sun),"Das Schiff ist im Sturm untergegangen.","The ship went down in the storm."
zustehen,To be entitled to,"Diese Entschädigung steht Ihnen rechtlich zu.","You are legally entitled to this compensation."
zurückziehen,To withdraw / To retract,"Er hat sein Angebot kurzfristig zurückgezogen.","He withdrew his offer at short notice."
anfordern,To request / To demand,"Sie können die Unterlagen per E-Mail anfordern.","You can request the documents via email."
beitragen (zu),To contribute (to),"Jeder kann zum Umweltschutz beitragen.","Everyone can contribute to environmental protection."
vorgehen (gegen),To proceed (against),"Die Polizei geht gegen den Lärm vor.","The police are taking action against the noise."
weitergeben,To pass on / To forward,"Bitte geben Sie diese Information an das Team weiter.","Please pass this information on to the team."
zusammenfassen,To summarize,"Können Sie die Ergebnisse kurz zusammenfassen?","Can you briefly summarize the results?"
einhalten,To keep / To comply with,"Wir müssen die Frist unbedingt einhalten.","We must absolutely meet the deadline."
mitteilen,To inform / To announce,"Der Chef teilte uns die Neuigkeiten gestern mit.","The boss informed us of the news yesterday."
aufzeigen,To point out / To show,"Die Studie zeigt neue Möglichkeiten auf.","The study points out new possibilities."
nachweisen,To prove / To verify,"Die Echtheit wurde im Labor nachgewiesen.","The authenticity was proven in the laboratory."
nachfragen,To inquire / To check,"Ich muss im Büro nochmal nachfragen.","I have to ask again in the office."
durchsetzen,To enforce / To assert,"Er konnte seinen Willen schließlich durchsetzen.","He was finally able to enforce his will."
nachdenken (über),To reflect / To think about,"Ich muss über deinen Vorschlag nachdenken.","I have to think about your proposal."
überfordert,Overwhelmed,"Ich fühle mich mit der neuen Aufgabe völlig überfordert.","I feel completely overwhelmed with the new task."
unter Druck stehen,To be under pressure,"Er steht bei der Arbeit ständig unter Druck.","He is constantly under pressure at work."
verängstigt,Frightened / Scared,"Das kleine Kind wirkte sehr verängstigt.","The small child seemed very frightened."
der Selbstzweifel,Self-doubt,"Selbstzweifel können den Fortschritt behindern.","Self-doubt can hinder progress."
der Therapeut,Therapist,"Der Therapeut hilft ihm, die Krise zu bewältigen.","The therapist helps him to overcome the crisis."
der Rückzug,Retreat / Withdrawal,"Nach dem Streit trat sie den Rückzug an.","After the argument, she retreated."
emotional,Emotional,"Das war ein sehr emotionaler Moment.","That was a very emotional moment."
eifersüchtig / neidisch,Jealous / Envious,"Er ist eifersüchtig auf den Erfolg seines Kollegen.","He is jealous of his colleague's success."
mitfühlend / das Mitgefühl,Compassionate / Compassion,"Sie ist eine sehr mitfühlende Person.","She is a very compassionate person."
die Reizbarkeit / gereizt,Irritability / Irritated,"Schlafmangel führt oft zu erhöhter Reizbarkeit.","Sleep deprivation often leads to increased irritability."
deprimiert,Depressed / Down,"An grauen Wintertagen fühlen sich viele deprimiert.","On gray winter days, many feel depressed."
verzweifelt,Desperate,"Sie suchte verzweifelt nach ihrem Hausschlüssel.","She desperately looked for her house key."
die Beratung,Consultation / Counseling,"Ich war heute bei einer professionellen Berufsberatung.","I was at a professional career counseling session today."
verletzlich,Vulnerable,"Jeder Mensch hat eine verletzliche Seite.","Every human has a vulnerable side."
gefühlsbetont,Emotive / Sentimental,"Seine Rede war sehr gefühlsbetont.","His speech was very emotional."
der Neid,Envy,"Neid ist kein guter Ratgeber.","Envy is not a good counselor."
ausgeglichen,Balanced / Level-headed,"Yoga hilft mir dabei, ausgeglichen zu bleiben.","Yoga helps me to stay balanced."
die Selbstwahrnehmung,Self-perception,"Eine gesunde Selbstwahrnehmung ist wichtig.","A healthy self-perception is important."
die Anrede,Salutation / Greeting,"Eine höfliche Anrede ist in Geschäftsbriefen wichtig.","A polite salutation is important in business letters."
die Verabschiedung,Farewell / Closing,"Die Verabschiedung „Mit freundlichen Grüßen“ ist Standard.","The closing 'Sincerely' is standard."
der Betreff,Subject line,"Der Betreff der E-Mail sollte kurz und klar sein.","The subject line of the email should be short and clear."
der Ansprechpartner,Contact person,"Wer ist mein Ansprechpartner für technische Fragen?","Who is my contact person for technical questions?"
die Absage / die Zusage,Rejection / Acceptance,"Ich warte noch auf eine Zusage für den Job.","I am still waiting for an acceptance for the job."
sich entschuldigen,To apologize,"Er hat sich für seine Verspätung entschuldigt.","He apologized for his lateness."
der Tonfall,Tone of voice,"Sein Tonfall klang am Telefon etwas genervt.","His tone of voice sounded a bit annoyed on the phone."
angemessen,Appropriate / Suitable,"Sie trug für das Vorstellungsgespräch angemessene Kleidung.","She wore appropriate clothing for the job interview."
die Verwechslung,Mix-up / Confusion,"Tut mir leid, das war eine Verwechslung der Namen.","Sorry, that was a mix-up of names."
die Beziehungsebene,Relationship level,"Wir verstehen uns auf der Beziehungsebene sehr gut.","We get along very well on the relationship level."
die Etikette,Etiquette,"Business-Etikette ist in dieser Firma sehr wichtig.","Business etiquette is very important in this company."
abbrechen,To cancel / To break off,"Wir mussten das Projekt leider vorzeitig abbrechen.","Unfortunately, we had to cancel the project prematurely."
annehmen,To accept / To assume,"Ich nehme Ihre Einladung gerne an.","I gladly accept your invitation."
aufstellen,To establish / To set up,"Wir müssen neue Regeln für das Team aufstellen.","We must set up new rules for the team."
ausarbeiten,To elaborate / To work out,"Können Sie den Plan bis morgen genauer ausarbeiten?","Can you work out the plan in more detail by tomorrow?"
einführen,To introduce / To implement,"Die Firma führt nächste Woche ein neues System ein.","The company is introducing a new system next week."
eingehen (auf),To address / To respond to,"Ich möchte kurz auf Ihre Frage eingehen.","I would like to briefly address your question."
festlegen,To determine / To define,"Wir haben den Termin für das Treffen festgelegt.","We have determined the date for the meeting."
gegenüberstellen,To compare / To contrast,"Man muss die Vor- und Nachteile gegenüberstellen.","One has to contrast the pros and cons."
herausfinden,To find out,"Ich muss erst herausfinden, wer zuständig ist.","I first have to find out who is responsible."
nachholen,To catch up on,"Ich muss den verpassten Stoff am Wochenende nachholen.","I have to catch up on the missed material on the weekend."
wiederherstellen,To restore / To recover,"Er konnte die gelöschten Daten wiederherstellen.","He was able to restore the deleted data."
zurückkehren,To return,"Nach dem Urlaub ist sie an ihren Schreibtisch zurückgekehrt.","After the vacation, she returned to her desk."
beistehen,To stand by / To support,"In schwierigen Zeiten muss man einander beistehen.","In difficult times one must stand by one another."
fortsetzen,To continue,"Wir werden die Diskussion nach der Pause fortsetzen.","We will continue the discussion after the break."
hervorgehen,To emerge / To result,"Aus dem Bericht geht hervor, dass wir sparen müssen.","It emerges from the report that we have to save money."
wegfallen,To be omitted / To cease to exist,"Durch die neue Software fallen viele Aufgaben weg.","Due to the new software, many tasks are being eliminated."
zurücktreten,To resign / To step back,"Der Minister ist von seinem Amt zurückgetreten.","The minister resigned from his office."
der Hörsaal,Lecture hall,"Der Hörsaal war bis auf den letzten Platz besetzt.","The lecture hall was occupied to the last seat."
der Kommilitone / die Kommilitonin,Fellow student,"Ich lerne oft zusammen mit meinen Kommilitonen.","I often study together with my fellow students."
publizieren,To publish,"Professor Müller hat einen neuen Artikel publiziert.","Professor Müller published a new article."
die Zulassung,Admission,"Ich habe endlich die Zulassung für das Medizinstudium erhalten.","I finally received admission for medical school."
die Einschreibung,Enrollment / Matriculation,"Die Einschreibung findet dieses Jahr online statt.","Enrollment is taking place online this year."
die Anwesenheitspflicht,Mandatory attendance,"In diesem Seminar herrscht strenge Anwesenheitspflicht.","Strict mandatory attendance prevails in this seminar."
das Pflichtmodul / Wahlmodul,Compulsory / Elective module,"Mathe ist ein Pflichtmodul, aber Kunst ist ein Wahlmodul.","Math is a compulsory module, but Art is an elective module."
das Vorlesungsverzeichnis,Course catalog,"Schau im Vorlesungsverzeichnis nach den Zeiten.","Look in the course catalog for the times."
der Leistungsnachweis,Certificate of achievement,"Für das Stipendium brauche ich einen Leistungsnachweis.","I need a certificate of achievement for the scholarship."
die Studienleistung,Academic achievement,"Ihre Studienleistungen im letzten Semester waren sehr gut.","Her academic achievements in the last semester were very good."
die Kommilitonenrunde,Circle of fellow students,"Wir besprechen das Thema in unserer kleinen Kommilitonenrunde.","We are discussing the topic in our small circle of fellow students."
die Belegschaft,Workforce / Staff,"Die gesamte Belegschaft ist zur Weihnachtsfeier eingeladen.","The entire workforce is invited to the Christmas party."
unterzeichnen,To sign,"Beide Parteien haben den Vertrag gestern unterzeichnet.","Both parties signed the contract yesterday."
das Arbeitsverhältnis,Employment relationship,"Das Arbeitsverhältnis wurde im gegenseitigen Einvernehmen beendet.","The employment relationship was ended by mutual agreement."
die Festanstellung,Permanent position,"Nach dem Praktikum hat er eine Festanstellung bekommen.","After the internship, he got a permanent position."
die Einarbeitung,Orientation / Onboarding,"Die Einarbeitung neuer Mitarbeiter dauert meist zwei Wochen.","The orientation of new employees usually takes two weeks."
befristet / unbefristet,Temporary / Permanent (contract),"Mein Arbeitsvertrag ist leider nur auf ein Jahr befristet.","My employment contract is unfortunately limited to only one year."
die Gehaltsverhandlung,Salary negotiation,"Nächste Woche habe ich eine wichtige Gehaltsverhandlung.","Next week I have an important salary negotiation."
die Lohnsteuer,Income tax,"Die Lohnsteuer wird direkt vom Gehalt abgezogen.","Income tax is deducted directly from the salary."
der Beitrag,Contribution / Fee,"Wie hoch ist der monatliche Beitrag zur Versicherung?","How high is the monthly contribution to the insurance?"
der Gewinn / der Verlust,Profit / Loss,"Das Unternehmen machte dieses Jahr einen großen Gewinn.","The company made a large profit this year."
der Umsatz,Turnover / Revenue,"Unser Umsatz ist im Vergleich zum Vorjahr gestiegen.","Our turnover has increased compared to the previous year."
die Bilanz,Balance sheet / Results,"Die Firma zieht am Ende des Jahres eine positive Bilanz.","The company draws a positive balance at the end of the year."
der Betriebsrat,Works council,"Der Betriebsrat setzt sich für die Rechte der Angestellten ein.","The works council advocates for the rights of the employees."
die Gewerkschaft,Trade union,"Die Gewerkschaft fordert 5% mehr Lohn für die Arbeiter.","The trade union demands 5% more wages for the workers."
die Zuständigkeit,Responsibility / Jurisdiction,"Das fällt leider nicht in meine Zuständigkeit.","That unfortunately does not fall within my responsibility."
